Student,1,2,3,4
A,0.0757,0.0762,0.0769,0.0746
B,0.0808,0.0793,0.0781,0.0821
C,0.0811,0.0772,0.077,0.0756
D,0.0655,0.0683,0.0714,0.0746
E,0.0741,0.071,0.0748,0.0711
F,0.0756,0.0772,0.0776,0.0759
G,0.0775,0.0785,0.076,0.0761
H,0.0747,0.0765,0.0735,0.0776
I,0.0719,0.0762,0.0802,0.0713
J,0.0734,0.0833,0.0833,0.0783
K,0.0755,0.074,0.0714,0.0743
L,0.0788,0.0817,0.0794,0.0766
M,0.0731,0.0716,0.0726,0.0714
N,0.0833,0.0794,0.0783,0.0788
O,0.0767,0.0775,0.0765,0.0793
P,0.0787,0.0798,0.0864,0.0817
Q,0.0784,0.0799,0.0789,0.0802
R,0.0784,0.082,0.0796,0.0818
S,0.083,0.0796,0.0778,0.0767
T,0.0741,0.068,0.0733,0.0723
V,0.081,0.0812,0.0789,0.0776
W,0.0777,0.0759,0.0795,0.079
X,0.0784,0.0786,0.0797,0.0859
